,Employee_ID,Gender,Age,Relationship_Status,Hometown,Unit,Time_of_service,Time_since_promotion,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,Attrition
26,EID_4861,F,47.0,Single,Washington,R&D,21.0,1,1,3,8.0,4.0,0.0
27,EID_12981,M,28.0,Single,Lebanon,Sales,,1,0,4,8.0,1.0,1.0
28,EID_7596,F,45.0,Married,Lebanon,R&D,15.0,4,0,2,9.0,2.0,0.0
29,EID_14066,F,34.0,Married,Lebanon,Operarions,6.0,1,0,4,7.0,3.0,0.0
30,EID_18060,M,24.0,Single,Franklin,IT,5.0,4,0,1,8.0,3.0,0.0
31,EID_23729,M,54.0,Single,Lebanon,Accounting and Finance,28.0,1,2,3,5.0,3.0,0.0
32,EID_5824,F,54.0,Single,Springfield,IT,30.0,3,0,1,5.0,2.0,0.0
33,EID_2025,F,55.0,Married,Franklin,IT,33.0,4,0,5,7.0,4.0,0.0
34,EID_20761,F,19.0,Single,Lebanon,Operarions,0.0,0,2,3,4.0,4.0,0.0
35,EID_9775,F,46.0,Single,Washington,Sales,10.0,2,0,2,9.0,1.0,0.0
36,EID_22605,F,28.0,Single,Lebanon,Operarions,6.0,3,2,1,5.0,2.0,0.0
37,EID_20859,M,54.0,Single,Springfield,Purchasing,26.0,2,2,4,8.0,2.0,0.0
38,EID_11141,F,33.0,Married,Lebanon,Logistics,9.0,3,0,1,10.0,2.0,1.0
39,EID_20542,M,30.0,Single,Springfield,IT,7.0,3,0,2,6.0,1.0,0.0
40,EID_17527,F,,Married,Springfield,IT,4.0,1,2,5,6.0,2.0,0.0
41,EID_10767,M,43.0,Married,Washington,Operarions,12.0,4,2,5,5.0,4.0,0.0
42,EID_14404,M,30.0,Married,Clinton,IT,6.0,1,1,1,6.0,4.0,0.0
43,EID_1433,M,,Married,Springfield,Logistics,19.0,3,1,2,4.0,2.0,0.0
44,EID_15214,F,24.0,Married,Clinton,Marketing,5.0,1,1,4,7.0,2.0,0.0
45,EID_1028,F,39.0,Single,Franklin,Production,14.0,4,1,5,5.0,1.0,0.0
46,EID_23163,M,27.0,Married,Lebanon,Marketing,3.0,3,0,4,6.0,4.0,0.0
47,EID_10796,F,34.0,Married,Washington,IT,10.0,2,0,3,9.0,2.0,0.0
48,EID_2413,F,57.0,Married,Springfield,IT,35.0,3,1,3,2.0,1.0,0.0
49,EID_15197,M,31.0,Single,Springfield,Sales,4.0,2,0,5,4.0,1.0,0.0
50,EID_22544,F,54.0,Married,Franklin,Logistics,27.0,4,0,1,5.0,2.0,0.0
51,EID_3235,M,51.0,Single,Springfield,Quality,27.0,2,1,2,6.0,3.0,0.0
52,EID_9981,F,41.0,Married,Clinton,Purchasing,18.0,1,0,2,5.0,4.0,0.0
53,EID_14964,F,28.0,Single,Springfield,IT,6.0,1,1,3,7.0,1.0,0.0
54,EID_1297,M,,Married,Springfield,IT,24.0,4,0,2,5.0,3.0,0.0
55,EID_24847,F,37.0,Married,Springfield,Sales,10.0,2,1,4,5.0,2.0,0.0
56,EID_1395,M,60.0,Married,Lebanon,Sales,27.0,3,1,3,4.0,1.0,0.0
57,EID_15391,M,24.0,Married,Springfield,Quality,,4,0,3,6.0,2.0,0.0
58,EID_5986,F,54.0,Married,Franklin,IT,23.0,2,2,1,6.0,1.0,0.0
59,EID_5679,F,50.0,Single,Lebanon,IT,27.0,1,0,3,7.0,4.0,0.0
60,EID_3451,F,54.0,Married,Lebanon,Operarions,15.0,2,0,3,6.0,2.0,0.0
61,EID_14177,M,34.0,Married,Lebanon,Security,12.0,2,2,1,5.0,1.0,0.0
62,EID_5301,F,56.0,Married,Springfield,Logistics,20.0,3,1,5,5.0,1.0,0.0
63,EID_25100,F,37.0,Single,Springfield,Logistics,12.0,4,1,2,4.0,3.0,1.0
64,EID_9288,M,58.0,Married,Springfield,Logistics,22.0,3,0,3,4.0,2.0,0.0
65,EID_20266,M,28.0,Married,Franklin,Sales,5.0,3,1,2,5.0,1.0,0.0
66,EID_22041,M,32.0,Married,Franklin,Quality,6.0,4,1,4,5.0,3.0,0.0
67,EID_6447,F,44.0,Single,Franklin,Accounting and Finance,8.0,1,0,3,3.0,3.0,0.0
68,EID_6029,F,49.0,Married,Franklin,Sales,21.0,2,0,2,8.0,1.0,0.0
69,EID_3599,M,51.0,Single,Springfield,Logistics,13.0,4,1,2,5.0,4.0,0.0
70,EID_19544,F,54.0,Married,Franklin,IT,15.0,4,0,2,8.0,3.0,0.0
71,EID_20295,F,54.0,Single,Lebanon,Purchasing,19.0,1,1,2,5.0,3.0,0.0
72,EID_1407,F,60.0,Single,Franklin,IT,21.0,2,0,4,5.0,2.0,0.0
73,EID_10356,F,36.0,Married,Washington,Logistics,9.0,4,1,5,4.0,4.0,0.0
74,EID_15605,F,26.0,Married,Springfield,Marketing,4.0,2,1,1,8.0,1.0,0.0
75,EID_12596,F,29.0,Married,Lebanon,IT,5.0,4,0,3,6.0,3.0,0.0
76,EID_9223,M,42.0,Married,Clinton,Security,12.0,2,1,3,3.0,5.0,0.0
77,EID_14535,F,30.0,Single,Franklin,R&D,8.0,3,1,3,6.0,1.0,0.0
78,EID_11100,M,42.0,Single,Franklin,Operarions,10.0,3,0,5,7.0,1.0,0.0
79,EID_8725,F,65.0,Married,Lebanon,Human Resource Management,32.0,1,0,3,5.0,3.0,0.0
80,EID_3760,F,50.0,Single,Springfield,IT,18.0,2,2,3,7.0,2.0,0.0
81,EID_15394,M,24.0,Married,Clinton,Sales,5.0,2,1,2,8.0,3.0,0.0
82,EID_5940,M,45.0,Married,Washington,Sales,11.0,2,1,4,9.0,3.0,0.0
83,EID_9901,F,46.0,Married,Washington,Human Resource Management,7.0,3,0,3,3.0,1.0,0.0
84,EID_24964,F,25.0,Married,Springfield,Purchasing,6.0,3,0,5,4.0,1.0,0.0
85,EID_17650,F,23.0,Married,Springfield,Accounting and Finance,4.0,3,1,1,5.0,1.0,0.0
86,EID_18900,F,20.0,Single,Springfield,Sales,1.0,1,1,3,8.0,4.0,0.0
87,EID_9678,F,58.0,Married,Franklin,Quality,29.0,3,1,3,9.0,2.0,0.0
88,EID_3086,F,60.0,Married,Washington,Logistics,23.0,4,1,4,8.0,3.0,0.0
89,EID_23579,M,22.0,Married,Lebanon,IT,3.0,2,2,1,7.0,2.0,0.0
90,EID_19048,F,20.0,Married,Lebanon,Logistics,1.0,1,2,2,4.0,3.0,0.0
91,EID_8061,F,59.0,Single,Clinton,IT,28.0,2,1,1,4.0,1.0,1.0
92,EID_25550,F,47.0,Married,Franklin,Quality,24.0,1,1,1,1.0,3.0,0.0
93,EID_3988,F,53.0,Married,Franklin,Production,30.0,2,1,2,7.0,1.0,0.0
94,EID_10192,M,36.0,Married,Springfield,IT,13.0,1,0,4,6.0,1.0,0.0
95,EID_10455,M,35.0,Married,Springfield,Logistics,6.0,3,1,3,6.0,2.0,0.0
96,EID_23317,M,22.0,Married,Franklin,Production,,1,1,2,4.0,1.0,0.0
97,EID_22742,F,,Married,Lebanon,Human Resource Management,19.0,4,1,3,5.0,4.0,0.0
98,EID_13743,F,35.0,Married,Washington,IT,13.0,4,1,2,6.0,4.0,0.0
99,EID_10641,F,39.0,Single,Springfield,Sales,13.0,2,2,3,5.0,5.0,0.0
100,EID_13346,F,31.0,Married,Springfield,Sales,4.0,3,2,5,7.0,1.0,0.0
101,EID_13859,M,,Married,Lebanon,Operarions,3.0,2,0,3,5.0,2.0,0.0
102,EID_8054,F,44.0,Married,Lebanon,IT,16.0,1,2,3,8.0,4.0,0.0
103,EID_18204,F,24.0,Married,Lebanon,IT,5.0,4,1,2,6.0,2.0,0.0
104,EID_14719,F,25.0,Married,Lebanon,Quality,,4,0,4,8.0,2.0,0.0
105,EID_24682,F,32.0,Married,Springfield,R&D,4.0,4,1,5,7.0,4.0,0.0
106,EID_22403,F,32.0,Married,Franklin,Marketing,10.0,3,1,2,4.0,3.0,0.0
107,EID_19175,M,21.0,Single,Springfield,Operarions,2.0,2,2,3,6.0,2.0,0.0
108,EID_15176,F,31.0,Single,Clinton,Operarions,3.0,2,1,4,4.0,3.0,1.0
109,EID_3097,F,51.0,Single,Franklin,Operarions,25.0,4,1,3,7.0,3.0,0.0
110,EID_20280,F,37.0,Married,Lebanon,Purchasing,9.0,2,2,5,8.0,2.0,0.0
111,EID_13813,M,30.0,Single,Springfield,Operarions,6.0,3,0,4,5.0,4.0,1.0
112,EID_21157,F,27.0,Single,Franklin,IT,3.0,1,0,3,8.0,3.0,0.0
113,EID_11835,M,36.0,Married,Lebanon,IT,14.0,4,0,2,7.0,3.0,0.0
114,EID_17005,M,27.0,Single,Springfield,R&D,3.0,1,2,4,5.0,3.0,0.0
115,EID_7977,F,59.0,Married,Washington,Logistics,22.0,4,1,3,7.0,3.0,0.0
116,EID_17036,M,,Married,Franklin,Operarions,5.0,3,0,1,6.0,1.0,0.0
117,EID_7749,F,65.0,Married,Washington,Human Resource Management,36.0,4,1,3,6.0,1.0,0.0
118,EID_25230,F,45.0,Single,Springfield,IT,14.0,3,1,2,4.0,1.0,0.0
119,EID_15836,F,24.0,Married,Franklin,IT,5.0,3,0,3,8.0,3.0,0.0
120,EID_23470,F,28.0,Single,Lebanon,Production,5.0,1,1,3,6.0,3.0,0.0
121,EID_20659,M,54.0,Married,Washington,Logistics,21.0,4,1,5,9.0,2.0,0.0
122,EID_7105,F,42.0,Married,Washington,IT,7.0,2,1,1,4.0,2.0,1.0
123,EID_2018,F,59.0,Married,Franklin,Accounting and Finance,30.0,1,0,2,4.0,2.0,0.0
124,EID_5298,F,56.0,Married,Springfield,Accounting and Finance,21.0,3,1,2,4.0,3.0,0.0
125,EID_15209,F,31.0,Married,Clinton,R&D,9.0,3,0,2,8.0,1.0,0.0
126,EID_9963,F,37.0,Married,Franklin,Operarions,12.0,1,0,3,3.0,4.0,0.0
127,EID_9899,M,41.0,Single,Springfield,Operarions,11.0,4,1,1,4.0,3.0,0.0
128,EID_12670,F,37.0,Married,Washington,Operarions,14.0,3,2,1,8.0,3.0,0.0
129,EID_17086,F,24.0,Single,Springfield,Human Resource Management,5.0,3,0,3,6.0,1.0,0.0
130,EID_25656,M,28.0,Married,Lebanon,Sales,4.0,1,0,3,1.0,1.0,1.0
131,EID_3365,F,50.0,Married,Lebanon,Operarions,19.0,2,1,3,6.0,2.0,0.0
132,EID_7712,F,50.0,Single,Franklin,Human Resource Management,20.0,2,1,1,6.0,1.0,0.0
133,EID_7719,F,62.0,Married,Franklin,Sales,23.0,4,1,1,5.0,3.0,0.0
134,EID_6127,F,54.0,Married,Springfield,Sales,17.0,2,1,3,2.0,3.0,0.0
135,EID_18401,F,20.0,Single,Springfield,Purchasing,1.0,1,0,2,8.0,4.0,1.0
136,EID_25481,F,47.0,Married,Lebanon,Purchasing,21.0,1,1,1,5.0,3.0,0.0
137,EID_12032,M,35.0,Single,Franklin,R&D,11.0,3,0,4,5.0,1.0,0.0
138,EID_22955,F,26.0,Single,Franklin,Logistics,3.0,1,1,5,6.0,3.0,0.0
139,EID_5236,F,51.0,Single,Franklin,Purchasing,17.0,2,1,2,8.0,3.0,0.0
140,EID_8370,M,59.0,Married,Lebanon,Operarions,34.0,2,1,2,7.0,2.0,0.0
141,EID_19645,F,31.0,Married,Lebanon,Sales,6.0,1,1,2,6.0,2.0,0.0
142,EID_21172,F,19.0,Married,Clinton,Security,0.0,0,1,2,7.0,3.0,0.0
143,EID_24057,F,60.0,Married,Springfield,IT,38.0,3,1,3,1.0,1.0,0.0
144,EID_25188,F,,Single,Springfield,R&D,18.0,4,1,3,4.0,1.0,0.0
145,EID_13260,M,27.0,Married,Lebanon,Operarions,5.0,3,0,1,7.0,3.0,0.0
146,EID_17912,M,20.0,Single,Lebanon,IT,1.0,1,0,2,9.0,1.0,1.0
147,EID_21820,F,37.0,Married,Lebanon,Human Resource Management,8.0,3,0,2,8.0,4.0,0.0
148,EID_4585,M,63.0,Married,Lebanon,IT,38.0,3,1,4,4.0,3.0,0.0
149,EID_13467,F,31.0,Married,Clinton,Human Resource Management,3.0,2,1,3,10.0,2.0,0.0
150,EID_11537,M,32.0,Single,Lebanon,Operarions,10.0,2,1,5,7.0,3.0,0.0
151,EID_5324,M,,Married,Franklin,Operarions,18.0,3,2,3,6.0,1.0,1.0
152,EID_13167,M,28.0,Single,Washington,Accounting and Finance,5.0,2,1,3,7.0,1.0,0.0
153,EID_2319,M,63.0,Married,Franklin,IT,38.0,1,0,3,3.0,4.0,0.0
154,EID_20573,F,26.0,Married,Franklin,Accounting and Finance,3.0,2,1,2,3.0,4.0,0.0
155,EID_7146,M,46.0,Married,Springfield,Sales,21.0,1,0,5,6.0,2.0,1.0
156,EID_18431,M,20.0,Married,Clinton,IT,1.0,1,1,4,1.0,2.0,0.0
157,EID_24231,F,47.0,Married,Lebanon,R&D,25.0,3,1,2,8.0,1.0,0.0
158,EID_14926,F,24.0,Married,Franklin,Sales,5.0,1,2,1,5.0,3.0,0.0
159,EID_4939,M,63.0,Married,Springfield,Logistics,37.0,2,0,3,5.0,1.0,0.0
160,EID_20915,F,19.0,Married,Lebanon,Marketing,0.0,0,0,4,4.0,3.0,0.0
161,EID_5175,M,56.0,Single,Lebanon,Logistics,26.0,1,1,2,8.0,1.0,0.0
162,EID_2999,F,61.0,Married,Washington,Sales,23.0,4,0,3,6.0,3.0,0.0
163,EID_13927,F,26.0,Married,Franklin,Human Resource Management,2.0,2,1,5,7.0,3.0,0.0
164,EID_18769,M,19.0,Married,Springfield,R&D,0.0,0,1,3,9.0,3.0,0.0
165,EID_5650,F,46.0,Single,Washington,Marketing,18.0,3,2,4,7.0,2.0,0.0
166,EID_24796,M,26.0,Single,Springfield,Purchasing,3.0,2,0,3,6.0,4.0,0.0
167,EID_15313,M,24.0,Single,Franklin,Operarions,5.0,2,2,1,5.0,3.0,0.0
168,EID_3369,F,59.0,Single,Lebanon,R&D,35.0,4,0,2,8.0,3.0,0.0
169,EID_17673,M,25.0,Single,Lebanon,IT,6.0,1,1,3,6.0,1.0,0.0
170,EID_19132,F,19.0,Married,Washington,Marketing,0.0,0,0,3,5.0,3.0,0.0
171,EID_1885,M,64.0,Married,Washington,Sales,27.0,1,2,2,8.0,4.0,0.0
172,EID_23947,F,42.0,Single,Franklin,Logistics,15.0,3,0,3,7.0,5.0,0.0
173,EID_11058,F,43.0,Married,Franklin,Production,4.0,4,0,1,8.0,2.0,0.0
174,EID_19577,M,26.0,Single,Lebanon,Logistics,3.0,3,2,4,4.0,2.0,0.0
175,EID_6451,M,,Single,Franklin,IT,26.0,4,1,2,7.0,1.0,0.0
176,EID_20683,F,19.0,Married,Washington,Logistics,0.0,0,0,3,8.0,2.0,0.0
177,EID_21247,F,30.0,Married,Lebanon,IT,8.0,1,0,4,5.0,3.0,0.0
178,EID_22342,M,,Married,Lebanon,IT,0.0,0,1,3,4.0,4.0,0.0
179,EID_3199,M,51.0,Single,Lebanon,Purchasing,27.0,2,0,4,5.0,3.0,0.0
180,EID_2190,F,58.0,Single,Lebanon,R&D,32.0,2,1,1,6.0,4.0,0.0
181,EID_20463,F,19.0,Single,Lebanon,Human Resource Management,0.0,0,1,3,9.0,2.0,0.0
182,EID_15827,F,24.0,Married,Franklin,Human Resource Management,5.0,3,0,3,9.0,4.0,0.0
183,EID_13845,M,35.0,Married,Lebanon,Operarions,12.0,2,2,4,8.0,1.0,0.0
184,EID_11279,F,37.0,Married,Lebanon,Purchasing,10.0,2,0,4,6.0,3.0,0.0
185,EID_19555,F,19.0,Married,Franklin,Sales,0.0,0,1,3,5.0,2.0,1.0
186,EID_15317,M,31.0,Single,Lebanon,Accounting and Finance,3.0,3,1,3,6.0,2.0,0.0
187,EID_25009,F,35.0,Married,Washington,Production,13.0,4,0,1,8.0,2.0,1.0
188,EID_14154,M,29.0,Married,Lebanon,Purchasing,6.0,3,1,3,5.0,2.0,0.0
189,EID_3939,F,58.0,Married,Lebanon,Purchasing,27.0,1,2,3,10.0,1.0,0.0
190,EID_2433,M,62.0,Married,Franklin,Logistics,35.0,3,2,4,6.0,4.0,0.0
191,EID_10050,M,40.0,Single,Lebanon,Accounting and Finance,16.0,4,0,4,5.0,3.0,0.0
192,EID_9537,F,38.0,Married,Lebanon,IT,13.0,3,1,2,6.0,2.0,0.0
193,EID_18349,F,21.0,Married,Clinton,Operarions,2.0,2,1,3,6.0,4.0,0.0
194,EID_4223,F,53.0,Married,Franklin,Logistics,25.0,3,0,2,8.0,1.0,0.0
195,EID_12799,M,38.0,Married,Springfield,Logistics,10.0,4,1,2,7.0,3.0,0.0
196,EID_7863,M,50.0,Single,Franklin,Accounting and Finance,28.0,4,2,4,7.0,1.0,0.0
197,EID_8070,M,40.0,Married,Springfield,Logistics,,1,1,2,6.0,1.0,0.0
198,EID_23873,F,32.0,Single,Franklin,R&D,7.0,1,1,2,8.0,2.0,1.0
199,EID_11315,F,37.0,Married,Franklin,Logistics,8.0,1,1,3,3.0,1.0,0.0
200,EID_5524,F,46.0,Married,Springfield,Operarions,7.0,4,1,2,8.0,3.0,0.0
201,EID_22556,F,27.0,Married,Clinton,Production,3.0,1,0,2,4.0,3.0,0.0
202,EID_13380,M,27.0,Single,Lebanon,Purchasing,4.0,3,1,4,8.0,3.0,1.0
203,EID_2730,M,52.0,Single,Lebanon,Operarions,25.0,1,1,3,9.0,3.0,0.0
204,EID_18479,F,20.0,Married,Springfield,Operarions,1.0,1,0,1,8.0,3.0,0.0
205,EID_3312,F,55.0,Married,Washington,Quality,29.0,1,1,3,4.0,2.0,0.0
206,EID_20495,F,26.0,Married,Springfield,Logistics,3.0,1,1,5,9.0,2.0,0.0
207,EID_20740,F,52.0,Married,Franklin,Accounting and Finance,21.0,3,0,3,2.0,3.0,0.0
208,EID_9515,F,61.0,Married,Clinton,Marketing,26.0,3,1,3,8.0,1.0,0.0
209,EID_18232,M,22.0,Single,Washington,IT,3.0,3,2,4,5.0,4.0,0.0
210,EID_9057,F,,Single,Washington,Accounting and Finance,15.0,2,1,3,8.0,1.0,0.0
211,EID_12208,M,30.0,Married,Franklin,Sales,6.0,1,1,2,7.0,3.0,0.0
212,EID_11699,M,32.0,Married,Washington,Sales,9.0,4,0,2,4.0,4.0,0.0
213,EID_21589,M,27.0,Married,Lebanon,Logistics,5.0,4,0,3,7.0,2.0,0.0
214,EID_22793,F,42.0,Married,Lebanon,Logistics,13.0,1,1,1,4.0,3.0,0.0
215,EID_22506,M,27.0,Married,Washington,Purchasing,5.0,4,0,3,8.0,4.0,1.0
216,EID_17738,F,21.0,Married,Lebanon,Logistics,2.0,1,1,1,8.0,2.0,0.0
217,EID_4136,F,49.0,Single,Washington,Logistics,15.0,2,0,3,6.0,2.0,0.0
218,EID_6441,F,44.0,Married,Franklin,Marketing,20.0,2,2,3,5.0,3.0,0.0
219,EID_17581,F,23.0,Married,Clinton,Sales,4.0,1,1,2,5.0,4.0,1.0
220,EID_6377,M,48.0,Married,Lebanon,Sales,15.0,4,0,4,7.0,1.0,0.0
221,EID_17513,F,22.0,Married,Franklin,Accounting and Finance,3.0,3,1,4,4.0,3.0,0.0
222,EID_13386,M,27.0,Married,Springfield,Marketing,5.0,3,1,2,5.0,4.0,0.0
223,EID_2315,M,54.0,Married,Franklin,IT,24.0,4,1,2,2.0,1.0,0.0
224,EID_4127,M,49.0,Married,Washington,Sales,12.0,3,0,5,8.0,4.0,0.0
225,EID_10313,M,,Married,Lebanon,Purchasing,13.0,1,0,3,7.0,1.0,0.0
226,EID_9296,F,59.0,Single,Franklin,Logistics,28.0,3,0,3,4.0,4.0,0.0
227,EID_21825,F,31.0,Married,Lebanon,Sales,3.0,1,2,4,6.0,4.0,1.0
228,EID_22597,M,19.0,Married,Springfield,IT,0.0,0,2,5,5.0,2.0,0.0
229,EID_10788,M,43.0,Single,Springfield,Purchasing,10.0,3,1,1,5.0,3.0,0.0
230,EID_23087,F,32.0,Single,Washington,R&D,9.0,4,1,5,8.0,1.0,0.0
231,EID_23165,F,22.0,Married,Springfield,Logistics,3.0,2,0,1,9.0,2.0,0.0
232,EID_9919,F,46.0,Married,Clinton,Logistics,15.0,1,1,2,4.0,1.0,0.0
233,EID_22154,M,52.0,Single,Franklin,Logistics,24.0,3,1,2,8.0,4.0,0.0
234,EID_19386,F,20.0,Married,Lebanon,Human Resource Management,1.0,1,1,2,4.0,3.0,0.0
235,EID_5061,F,56.0,Single,Lebanon,R&D,18.0,1,0,5,8.0,1.0,0.0
236,EID_13095,F,28.0,Married,Lebanon,Logistics,5.0,4,1,3,6.0,1.0,0.0
237,EID_13043,M,32.0,Married,Franklin,Accounting and Finance,10.0,1,0,2,6.0,3.0,0.0
238,EID_6590,F,53.0,Single,Lebanon,IT,23.0,4,1,3,10.0,2.0,0.0
239,EID_21415,M,60.0,Married,Clinton,Logistics,23.0,1,1,3,5.0,3.0,0.0
240,EID_12841,F,38.0,Single,Franklin,Operarions,14.0,1,2,2,6.0,1.0,0.0
241,EID_15288,F,27.0,Single,Clinton,R&D,5.0,4,2,2,6.0,2.0,0.0
242,EID_4626,F,52.0,Single,Washington,Sales,20.0,2,0,2,5.0,1.0,0.0
243,EID_25777,F,37.0,Married,Franklin,Accounting and Finance,15.0,4,0,3,8.0,1.0,0.0
244,EID_24936,F,31.0,Single,Clinton,Production,9.0,4,1,1,8.0,3.0,0.0
245,EID_19699,M,28.0,Single,Washington,Production,4.0,3,1,2,7.0,2.0,0.0
246,EID_15357,F,27.0,Married,Springfield,Human Resource Management,5.0,2,0,3,8.0,4.0,0.0
247,EID_14089,M,25.0,Married,Lebanon,Sales,6.0,1,2,4,5.0,2.0,0.0
248,EID_7659,M,45.0,Married,Springfield,Logistics,20.0,2,0,3,5.0,2.0,0.0
249,EID_1946,F,59.0,Married,Springfield,Sales,26.0,2,1,2,5.0,2.0,0.0
250,EID_7285,F,46.0,Married,Springfield,Accounting and Finance,7.0,1,0,3,4.0,4.0,0.0
251,EID_13042,F,37.0,Single,Lebanon,Sales,14.0,1,1,5,5.0,4.0,0.0
252,EID_21145,F,37.0,Married,Springfield,Logistics,10.0,1,1,1,6.0,4.0,0.0
253,EID_13198,F,37.0,Married,Washington,Purchasing,,3,1,3,6.0,1.0,0.0
254,EID_1893,F,55.0,Single,Franklin,Sales,19.0,1,0,3,4.0,1.0,0.0
255,EID_19873,F,22.0,Single,Washington,Security,3.0,2,0,2,2.0,2.0,0.0
256,EID_13727,F,26.0,Married,Clinton,Logistics,4.0,2,1,3,8.0,2.0,0.0
257,EID_17310,F,21.0,Married,Springfield,Logistics,2.0,1,1,2,5.0,1.0,0.0
258,EID_22051,F,27.0,Married,Lebanon,Logistics,5.0,2,1,2,4.0,4.0,0.0
259,EID_20470,M,22.0,Single,Lebanon,Sales,3.0,3,0,2,7.0,3.0,1.0
260,EID_2047,M,63.0,Married,Washington,Human Resource Management,30.0,3,1,3,8.0,3.0,0.0
261,EID_9169,M,42.0,Single,Washington,Purchasing,9.0,3,1,3,5.0,2.0,0.0
262,EID_8839,M,,Married,Springfield,Accounting and Finance,24.0,1,0,4,8.0,3.0,0.0
263,EID_12894,F,28.0,Married,Springfield,Sales,5.0,1,0,1,8.0,1.0,0.0
264,EID_24042,M,35.0,Married,Franklin,Production,6.0,1,1,3,6.0,2.0,0.0
265,EID_10954,F,34.0,Married,Lebanon,Accounting and Finance,9.0,1,0,3,6.0,2.0,0.0
266,EID_16591,M,28.0,Married,Franklin,Operarions,5.0,2,1,3,3.0,3.0,1.0
267,EID_12456,F,39.0,Single,Franklin,IT,12.0,3,0,3,7.0,4.0,0.0
268,EID_14469,F,33.0,Married,Clinton,Logistics,5.0,3,2,3,4.0,3.0,0.0
269,EID_5370,F,62.0,Married,Franklin,Sales,29.0,2,0,3,8.0,3.0,0.0
270,EID_9595,M,46.0,Married,Franklin,Purchasing,16.0,2,1,2,5.0,1.0,0.0
271,EID_14814,F,,Married,Franklin,Sales,6.0,2,1,3,4.0,2.0,0.0
272,EID_7612,F,41.0,Single,Springfield,IT,10.0,2,1,1,6.0,1.0,0.0
273,EID_6148,M,54.0,Married,Lebanon,Sales,27.0,3,1,1,7.0,1.0,0.0
274,EID_3389,F,50.0,Single,Washington,Marketing,26.0,4,1,1,7.0,3.0,0.0
275,EID_22594,F,37.0,Single,Franklin,Operarions,8.0,4,0,4,2.0,3.0,0.0
276,EID_16693,M,,Single,Franklin,Logistics,4.0,3,1,3,8.0,1.0,0.0
277,EID_10994,F,43.0,Married,Springfield,R&D,18.0,4,2,3,7.0,1.0,1.0
278,EID_12204,M,34.0,Married,Franklin,Logistics,5.0,1,2,4,2.0,1.0,0.0
279,EID_2731,F,61.0,Single,Washington,IT,22.0,4,0,1,4.0,3.0,0.0
280,EID_19291,F,19.0,Married,Franklin,Logistics,0.0,0,1,2,10.0,2.0,0.0
281,EID_7343,F,60.0,Married,Springfield,Sales,37.0,3,1,2,7.0,4.0,0.0
282,EID_15622,F,23.0,Single,Springfield,IT,4.0,2,1,2,5.0,4.0,0.0
283,EID_15544,F,,Married,Washington,Sales,8.0,3,2,3,6.0,3.0,0.0
